subID,trial,cue,coherence,threshold,memoryThinning,congruent,freeChoice,RT,forcedChoice,noise1Frames_obs,signal1Frames_obs,noise2Frames_obs,signal2Frames_obs,noise1Frames,signal1_onset,signal1Frames,noise2_onset,noise2Frames,signal2_onset,signal2Frames,nFrames,startPoint_signal1,startPoint_signal2,accumulatorDifference,differenceFromVis
2,1,0.5,0.61,3,4,neutral,0.0,0.48333333333333334,0,29,,,,55,0.0,36,0.0,48,0.0,117,256,-2.46502981618776,-7.4929301525862,3.37295603116818,3.37295603116818
2,2,0.5,0.61,3,4,neutral,1.0,1.1166666666666667,1,52,14.0,,,52,14.0,42,0.0,51,0.0,111,256,0.301066359373028,2.84908851886575,1.34612608958818,1.1394392040017
2,3,0.5,0.61,3,4,neutral,0.0,1.0166666666666666,0,46,14.0,,,46,14.0,32,0.0,53,0.0,125,256,-1.25806392077566,2.75561466699042,0.192310484204893,1.60613268431164
2,4,0.5,0.61,3,4,neutral,0.0,3.05,0,53,38.0,46.0,45.0,53,38.0,38,46.0,46,45.0,119,256,-1.43201709836395,0.911768081174236,1.34195382541116,1.04425315190406
2,5,0.5,0.61,3,4,neutral,1.0,0.21666666666666667,1,13,,,,72,0.0,44,0.0,53,0.0,87,256,1.37995330349712,2.64490389426137,3.194434278495,3.194434278495
2,6,0.5,0.61,3,4,neutral,0.0,1.15,0,49,19.0,,,49,19.0,47,0.0,47,0.0,113,256,-0.643792958284354,1.08911921391537,0.423113067613222,2.07372336358485
2,7,0.5,0.61,3,4,neutral,1.0,1.2166666666666666,1,62,10.0,,,62,10.0,49,0.0,58,0.0,87,256,1.5457757798797,13.1502576273517,0.627806431564576,1.9992447376673
2,8,0.5,0.61,3,4,neutral,1.0,1.3833333333333333,1,54,28.0,,,54,28.0,39,0.0,51,0.0,112,256,0.32022020709563,-4.47854362942652,7.40750097493916,2.11539268169793
2,9,0.5,0.61,3,4,neutral,0.0,1.0833333333333333,0,50,14.0,,,50,14.0,33,0.0,48,0.0,125,256,-0.394474234372177,-3.46187330079663,1.24107665292884,2.4378883037414
2,10,0.5,0.61,3,4,neutral,1.0,1.4833333333333334,1,47,39.0,2.0,,47,39.0,39,2.0,49,0.0,121,256,-2.18629610748204,0.211852911623731,8.82326751281825,2.87088143530756
